,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
33,snornabase,0,0,[],[]
34,bioparadigms slc,0,0,[],[]
35,orphanet,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Orphanet_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Orphanet_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
36,pseudogene.org,0,0,[],[]
37,horde id,30,10,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Horde_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Horde_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
38,merops,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#MEROPS_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#MEROPS_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
39,imgt,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
40,iuphar,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IUPHAR_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IUPHAR_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
41,kznf gene catalog,25,9,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://scai.fraunhofer.de/PTS#hasGene', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
42,mamit-trnadb,0,0,[],[]
43,cd,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#CD_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#CD_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
44,lncrnadb,0,0,[],[]
45,enzyme id,27,9,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Enzyme_IDs', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
46,intermediate filament db,12,4,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Intermediate_Filament_DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Intermediate_Filament_DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
47,rna central ids,18,6,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#piRNABank_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#snoRNABase_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#piRNABank_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#snoRNABase_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#miRNA_miRBase_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#miRNA_miRBase_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
48,hgnc id,27,9,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
